1931     18    1	PRS HUM	Carl Sahlin
1931     25    6	PRS HUM	Dr Carl Sahlin
1931     33    1	PRS HUM	Georg Scheutz.
1931     40   57	TME DAT	år 1825
1931     43   44	PRS HUM	de la Malle
1931     52    2	PRS HUM	Georg Scheutz
1931     73   26	LOC PPL	Wien
1931     73   51	TME DAT	år 1411
1931     87    7	PRS HUM	Scheutz
1931     94   37	PRS HUM	Ernst Nordström
1931     94   53	TME DAT	år 1890
1931     95    1	LOC PPL	Norge
1931    103    7	TME DAT	År 1860
1931    104    5	TME DAT	år 1860
1931    104   24	ORG PLT	Riksdagen
1931    112   18	TME DAT	redan år 1822
1931    112   43	TME DAT	från 1834
1931    116   30	TME DAT	år 1835
1931    119   40	TME DAT	samma år
1931    120   46	LOC PPL	Sverige
1931    121   41	LOC FNC	Falu gruva
1931    124   55	ORG CRP	C. J. Ohlson
1931    134   59	LOC PPL	Falun
1931    135   13	TME DAT	den 5 maj 1836
1931    136   60	LOC PPL	Sverige
1931    139   11	TME DAT	början av 1900-talet
1931    142   39	LOC PPL	Lesjöfors
1931    143    1	TME DAT	sedan 1860
1931    143   48	TME DAT	sedan 1882
1931    144    5	TME DAT	sedan 1884
1931    144   17	LOC PPL	Garphyttan
1931    144   28	TME DAT	sedan 1906
1931    144   40	ORG CRP	Varbergsverket
1931    145    1	LOC PPL	Gunnebo
1931    145   15	TME DAT	sedan 1917
1931    145   30	ORG CRP	Kristinehamnsverket
1931    146   12	TME DAT	sedan 1927
1931    146   33	ORG CRP	Bofors
1931    146   44	TME DAT	på 1870-talet
1931    148   32	LOC PPL	Falun
1931    150   52	LOC FNC	Falu gruva
1931    151   46	PRS HUM	Carl Gustaf Husberg
1931    153    9	LOC PPL	Sveriges
1931    153   46	TME DAT	år 1839
1931    155   11	TME DAT	i över fyra år
1931    169   35	PRS HUM	C. A. Ångström
1931    170    6	LOC PPL	Tabergs
1931    170   23	LOC PPL	Värmland
1931    172   28	PRS HUM	Oskar II:s
1931    172   47	LOC PPL	Grängesberg
1931    172   59	TME DAT	år 1900
1931    174   62	PRS HUM	Ragnar Blomberg.
1931    179   11	LOC FNC	Adolf Fredriks skrädhus
1931    183   50	TME DAT	den tiden
1931    190   27	LOC PPL	Stora Kopparbergs
1931    191   58	TME DAT	år 1842
1931    204   44	PRS HUM	halvor
1931    217    9	LOC FNC	Falu gruva
1931    229   20	TME DAT	på 1890-talet
1931    235   35	LOC PPL	Finspångs
1931    236   64	TME DAT	1820
1931    237   20	MSR AGE	Vid 28 års ålder
1931    239   30	TME DAT	År 1839
1931    246   54	MSR AGE	93 års ålder
1931    247    1	TME DAT	år 1886
1931    250    1	TME DAT	30 år
1931    253   55	PRS HUM	Aron Ferdinand
1931    264    1	PRS HUM	Westerlund
1931    264   21	TME DAT	den 11 augusti 1836
1931    264   45	LOC PPL	Berga
1931    265   32	LOC PPL	Malmö
1931    266   16	TME DAT	1861
1931    267    3	LOC PPL	Sverige
1931    271    1	PRS HUM	Georg Scheutz
1931    271   35	LOC PPL	Sveriges
1931    273   22	LOC PPL	Sverige
1931    273   30	TME DAT	1833
1931    277   35	TME DAT	år 1823
1931    294    1	PRS HUM	Westerlunds
1931    297   39	TME DAT	1878
1931    301    1	PRS HUM	A. F. Westerlund
1931    307    1	PRS HUM	Granströms
1931    307   27	LOC PPL	Stortägtsgruvan
1931    307   47	LOC PPL	Strömsholms
1931    310    1	PRS HUM	Ernst Nordström,
1931    321   51	ORG CRP	Sven Carlson, Falim.
1931    327    1	TME DAT	Under 1870- och 1880-talen
1931    335    1	PRS HUM	Westerlund
1931    335   22	TME DAT	år 1880
1931    335   49	LOC PPL	Lund
1931    341    4	LOC PPL	Malmö
1931    341   35	TME DAT	hela dagarna
1931    346   21	TME DAT	år 1867
1931    346   48	LOC PPL	Finspång
1931    351   42	PRS HUM	Westerlund
1931    354    1	TME DAT	augusti 1873
1931    360   11	PRS HUM	C. A. Ångström
1931    360   30	EVN HPL	Jernkontorets diskussionsmöte
1931    360   60	TME DAT	år 1871
1931    365    4	PRS HUM	Westerlunds
1931    366   72	LOC PPL	Tyskland
1931    373   46	TME DAT	år 1873
1931    377    1	TME DAT	år 1873
1931    377   54	LOC PPL	Norden
1931    377   61	TME DAT	1876
1931    378    3	ORG CRP	Ingeniörsföreningens
1931    378   38	TME DAT	år 1878
1931    379    9	TME DAT	år 1879
1931    379   49	TME DAT	åren 1878 och 1886
1931    388   44	WRK WMD	Industritidningen
1931    388   62	WRK WMD	Norden
1931    390    3	LOC PPL	Leipzig
1931    391   15	PRS HUM	Westerlund.
1931    392   35	TME DAT	redan år 1877
1931    394   22	ORG CRP	Bleichert. Det
1931    395    1	TME DAT	år 1877
1931    395   17	LOC PPL	Åmmeberg
1931    395   28	LOC PPL	Närke
1931    395   37	MSR DST	88 meter lång
1931    397   33	TME DAT	till år 1912
1931    398   35	PRS HUM	Westerlunds
1931    399    5	ORG CRP	Bofors
1931    399   12	TME DAT	år 1878
1931    400   48	LOC GPL	Timsälven
1931    402   12	TME DAT	år 1901
1931    408   30	TME DAT	år 1874
1931    409   27	PRS HUM	Otto
1931    410    2	TME DAT	i juli 1874
1931    410   21	PRS HUM	Otto
1931    410   56	TME DAT	början av år 1877
